Name,Symptoms,Treatments,Disease_Code,Contagious,Chronic
Coronary Atherosclerosis,"Chest pain or discomfort (angina), shortness of breath, fatigue, irregular heartbeat, dizziness, nausea, sweating, jaw or arm pain (in some cases), heart attack (when a coronary artery becomes completely blocked)","Lifestyle changes (such as a heart-healthy diet, regular exercise, weight management, smoking cessation), medication (such as aspirin, cholesterol-lowering medications, beta-blockers, calcium channel blockers, nitroglycerin), procedures (such as angioplasty and stenting, coronary artery bypass grafting), cardiac rehabilitation, management of other risk factors (such as high blood pressure, diabetes)",D045,True,True
Hypertensive Heart Disease,"High blood pressure, chest pain or discomfort, shortness of breath, fatigue","Medications (antihypertensives), lifestyle changes (healthy diet, exercise, stress management), treatment of underlying conditions",D046,True,True
Mumps,"Swollen salivary glands (usually parotid), fever, headache, fatigue","Supportive care, pain relievers, isolation, vaccination (MMR)",D047,True,False
Cholesteatoma,"Ear pain, hearing loss, ear drainage, dizziness or vertigo, tinnitus","Surgical removal, antibiotics (for associated infections)",D048,False,False
Polycystic Kidney Disease,"Abdominal pain, high blood pressure, kidney cysts","Symptom management, blood pressure control, dialysis",D049,False,False
Juvenile Rheumatoid Arthritis,"Joint pain, swelling, stiffness, limited range of motion, fever, rash","Medications (NSAIDs, DMARDs), physical therapy, occupational therapy, exercise, assistive devices",D050,True,True
Hypospadias,"Abnormal positioning of the urethral opening on the underside of the penis, penile curvature, spraying of urine, difficulty in urination","Surgical repair (hypospadias repair surgery), hormone therapy (in some cases), counseling and support for the child and family",D051,False,True
Parotid stones,"Swelling, pain, dry mouth, bad taste","Hydration,Saliva stimulation, Stone removal",D052,False,False
Achalasia,Difficulty swallowing,"Balloon dilation, surgery, medication",D053,False,True
Rumination Disorder,Repeated regurgitation and re-chewing of food,"Behavioral therapy (such as diaphragmatic breathing techniques), biofeedback, addressing any underlying psychological or medical conditions, dietary modifications",D054,False,True
Bronchitis,"Persistent cough with yellow or green mucus, chest congestion, fatigue","Rest, fluids, over-the-counter cough suppressants, inhalers (if prescribed), treating underlying cause",D055,True,False
Balanitis,"Inflammation of the glans penis (tip of the penis), redness, swelling, pain","Good hygiene, topical antifungal or antibacterial creams, corticosteroid creams (if severe), treating underlying causes",D056,False,False
Ectopic Pregnancy,"Vaginal bleeding, abdominal pain or cramping, shoulder pain (if the fallopian tube ruptures)","Immediate medical attention, potential medical procedures (such as medication or surgery to remove the ectopic pregnancy), close monitoring, emotional support",D057,False,True
Atelectasis,"Difficulty breathing, rapid breathing, chest pain","Treatment of the underlying cause (such as removal of airway obstruction, treatment of lung infection), deep breathing exercises, coughing techniques, incentive spirometry, chest physiotherapy, bronchodilator medications, supplemental oxygen therapy",D058,False,True
Anorexia Nervosa,"Extreme weight loss, fear of gaining weight, distorted body image","Medical monitoring, nutritional counseling, psychotherapy (such as cognitive-behavioral therapy or family-based therapy), medications (in some cases), hospitalization (for severe cases), support groups",D059,False,True
Hypergammaglobulinemia,"Elevated levels of gamma globulins in the blood, may be asymptomatic or associated with other underlying conditions","Treatment of underlying cause or associated condition, immunosuppressive therapy (in some cases)",D060,False,True
Pregnancy-Induced Hypertension,High blood pressure during pregnancy,"Monitoring blood pressure, lifestyle modifications (such as salt restriction, regular exercise), medication (such as antihypertensive drugs) if necessary, close monitoring by healthcare provider",D061,False,True
Chorioretinitis,"Eye pain, blurred vision, sensitivity to light","Antiviral medications, corticosteroids, eye drops",D062,False,True
Open-Angle Glaucoma,"Gradual loss of peripheral vision, tunnel vision","Eye drops to lower intraocular pressure (e.g., prostaglandin analogs, beta blockers, alpha agonists, carbonic anhydrase inhibitors), oral medications (e.g., carbonic anhydrase inhibitors), laser trabeculoplasty, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)",D063,False,True
Cranial Nerve Palsy,"Depends on the specific cranial nerve involved; symptoms can include vision changes, eye movement abnormalities, facial weakness or paralysis, difficulty swallowing or speaking, loss of sensation in the face or other areas","Treatment depends on the underlying cause and specific cranial nerve affected. It may include medications (such as corticosteroids or antiviral drugs), physical therapy, speech therapy, occupational therapy, eye exercises, surgery (in some cases), and management of any underlying conditions.",D064,False,True
Corneal Abrasion,"Eye pain, redness, foreign body sensation, sensitivity to light","Eye patching, lubricating eye drops, antibiotic ointments (if infected), avoiding further eye irritation",D065,False,False
Hiatal Hernia,"Heartburn, chest pain, difficulty swallowing","Lifestyle changes, medications (antacids, proton pump inhibitors)",D066,False,True
Type 2 Diabetes,"increased thirst, frequent urination, fatigue","insulin, medication, lifestyle change",D067,True,True
Uterine Fibroids,"Heavy or prolonged menstrual periods, pelvic pain or pressure, frequent urination, difficulty emptying the bladder, constipation, backache, leg pain, enlarged abdomen or uterus, infertility or recurrent miscarriages (in some cases)","Watchful waiting (for small or asymptomatic fibroids), medication (such as hormonal birth control, GnRH agonists, progestin-releasing intrauterine devices), minimally invasive procedures (such as uterine artery embolization, myomectomy), hysteroscopic procedures (such as hysteroscopic myomectomy or endometrial ablation), surgical removal of fibroids (such as laparoscopic or robotic-assisted myomectomy, hysterectomy), focused ultrasound ablation, hormonal therapy, alternative approaches (such as acupuncture or herbal remedies)",D068,False,True
Angle-Closure Glaucoma,"Severe eye pain, headache, blurred vision, halos around lights, nausea and vomiting","Medications (e.g., oral or intravenous acetazolamide, topical beta blockers, alpha agonists, prostaglandin analogs), laser peripheral iridotomy, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)",D069,False,True
Chronic Headache,"Persistent head pain, tension in neck and shoulders","Pain-relieving medications, relaxation techniques, stress management",D070,False,True
Acute Kidney Injury,"Decreased urine output, fluid retention, fatigue","Treating underlying cause, supportive care, medications to manage complications, dialysis (in severe cases)",D071,True,True
Scarlet Fever,"Sore throat, fever, rash (red, sandpaper-like), swollen glands","Antibiotics (such as penicillin or erythromycin), rest, fluids, symptomatic relief",D072,True,False
Thoracic Aortic Aneurysm,"Chest or back pain, shortness of breath, hoarseness, difficulty swallowing","Regular monitoring and imaging tests to assess aneurysm size and growth, lifestyle modifications (e.g., blood pressure control, avoiding smoking, managing cholesterol levels), medication (e.g., beta-blockers, ACE inhibitors) to manage blood pressure and reduce the risk of rupture, surgical intervention",D073,False,True
Scleroderma,"Thickening of the skin, Raynaud's phenomenon","Medications (immunosuppressants), therapy, symptom management",D074,False,True
Bone Spur of the Calcaneus,"Heel pain, especially when walking or standing, tenderness, swelling, inflammation of the surrounding tissue","Nonsteroidal anti-inflammatory drugs (NSAIDs), orthotic devices, physical therapy, stretching exercises, shoe modifications, corticosteroid injections, surgical removal (in severe cases)",D075,False,True
Ethylene glycol poisoning-2,"Metabolic acidosis, apid breathing, rapid heart rate, confusion, headache, dizziness, seizures","Blood tests, Supportive Measures, Gastric Decontamination, Antidote Administration, Hemodialysis",D076,False,False
Pica,Persistent consumption of non-food substances,"Behavioral therapy, addressing underlying nutritional deficiencies, addressing any medical complications, family support",D077,False,True
Induced Abortion,"Vaginal bleeding, cramping, abdominal pain, nausea, fatigue, emotional distress","Medical Abortion: Medication (such as mifepristone and misoprostol) is used to induce abortion, which can be done in the early stages of pregnancy. Surgical Abortion: A healthcare professional performs a procedure to remove the pregnancy, which can involve suction aspiration or dilation and curettage (D&C). It's important to consult with a healthcare professional to discuss the options and determine the most suitable method.",D078,True,True
Tension Headache,"Mild to moderate head pain, tightness or pressure sensation on both sides of head","Over-the-counter pain relievers, relaxation techniques, stress management",D079,False,False
Tuberculosis,"cough, weight loss, fever, night sweats","antibiotics, long-term medication",D080,True,True
Urethral Valves,"Difficulty or poor urinary stream, urinary tract infections, urinary frequency or urgency, abdominal distension, poor weight gain","Surgical intervention (valve ablation or resection), catheterization, medications for symptoms and complications",D081,False,True
Hashimoto Thyroiditis,"Fatigue, weight gain, constipation, dry skin, depression, muscle aches and stiffness, sensitivity to cold","Thyroid hormone replacement (levothyroxine), monitoring and management of symptoms",D082,True,True
Parkinson Disease,"Tremors, stiffness, slowness of movement","Medications (levodopa, dopamine agonists), physical therapy, deep brain stimulation",D083,False,True
Cryptorchidism,"Absence or undescended testicle(s), empty scrotum, smaller or underdeveloped testicle(s), inguinal hernia, abnormal positioning of the testicle(s) (higher in the groin area)","Observation and monitoring (in cases of mild or transient cryptorchidism), hormone therapy (to stimulate testicular descent), surgical intervention (orchiopexy) to reposition the testicle(s) into the scrotum, if necessary, performed around the age of 6 to 12 months, open or laparoscopic surgery (in cases of high or persistent cryptorchidism), testicular prostheses (in cases of absent or non-functional testicles), regular follow-up visits with a urologist or pediatric surgeon",D084,False,True
Mucocele,Painless fluid-filled swelling in the oral cavity,"Observation, Surgical removal if necessary",D085,False,False
Empyema,"Fever, chest pain, productive cough with foul-smelling or bloody sputum","Antibiotics, drainage (chest tube insertion, thoracentesis), surgical intervention (decortication), supportive care, treatment of underlying cause",D086,True,False
Abdominal Hernia,"Visible bulge or swelling, discomfort or pain","Watchful waiting, hernia truss, surgical repair, lifestyle changes",D087,False,True
Hemarthrosis,"Joint swelling, pain, warmth, limited range of motion","RICE method (Rest, Ice, Compression, Elevation), pain management, joint aspiration or drainage (in severe cases)",D088,False,False
Pregnancy-Related Back Pain,"Lower back pain, discomfort in the pelvic area","Prenatal exercises (such as stretching and strengthening exercises), good posture, heat or cold therapy, prenatal massages, supportive devices (such as pregnancy belts), physical therapy",D089,False,True
Muscle Spasm,"Sudden, involuntary muscle contractions, muscle pain, stiffness, limited range of motion","Stretching and relaxation exercises, heat or cold therapy, over-the-counter pain relievers, muscle relaxants, physical therapy, lifestyle modifications",D090,False,True
Diverticulosis,"Abdominal pain, bloating, changes in bowel movements","High-fiber diet, medications (pain relievers, antibiotics)",D091,False,True
Dry Skin,"Dry, flaky skin with itching","Moisturizing creams or lotions, avoiding hot showers or baths, using mild soaps",D092,False,False
Alcohol Use Disorder,"Cravings for alcohol, inability to control or limit alcohol consumption, withdrawal symptoms (such as tremors, anxiety, sweating) when attempting to stop or reduce alcohol use, continued use despite negative consequences (such as relationship problems, health issues), neglecting responsibilities, tolerance to alcohol","Detoxification (if necessary), counseling or therapy (such as cognitive-behavioral therapy, motivational interviewing), support groups (such as Alcoholics Anonymous), medication (such as disulfiram, naltrexone, acamprosate), addressing underlying psychological or social factors, lifestyle changes, ongoing monitoring and support",D093,False,True
Muscular Dystrophy,"Progressive muscle weakness and degeneration, difficulty walking or moving, muscle wasting","Supportive care, physical therapy, assistive devices, medications for symptom management, gene therapies (in some cases)",D094,False,True
Vaginal Yeast Infection,"Itching and irritation in the vagina and vulva, redness and swelling of the vulva, white, thick, clumpy vaginal discharge (resembling cottage cheese), burning sensation during urination, pain during sexual intercourse, rash or soreness in the affected area","Over-the-counter antifungal creams, ointments, or suppositories (such as miconazole, clotrimazole, or terconazole), prescription-strength antifungal medications (in severe or recurrent cases), oral antifungal medications (if recommended by a healthcare professional), topical corticosteroids (for relief of itching and inflammation), maintaining good hygiene practices, avoiding irritants (such as scented products), wearing breathable cotton underwear, avoiding tight-fitting clothing, probiotics (to restore healthy vaginal flora)",D095,False,True
Osteoporosis,"Fragile bones, loss of height over time, back pain, fractures","Calcium and vitamin D supplements, regular exercise, medications to slow bone loss",D096,False,True
Syndrome of Inappropriate Secretion of ADH (SIADH),"Excessively concentrated urine, low blood sodium levels","Treating underlying cause, fluid restriction, medications to suppress ADH (vasopressin) secretion, addressing electrolyte imbalance",D097,False,True
Myasthenia Gravis,"Muscle weakness, fatigue, difficulty speaking","Medications (acetylcholinesterase inhibitors, immunosuppressants), thymectomy (in some cases)",D098,True,True
Torticollis,"Neck pain, stiffness, and abnormal head positioning","Physical therapy exercises, pain relievers, botulinum toxin injections (in severe cases)",D099,False,True
Complex Regional Pain Syndrome (CRPS),"Intense burning pain, swelling, changes in skin temperature","Physical therapy, medications, nerve blocks",D100,False,True
Gastroenteritis (Stomach Flu),"Nausea, vomiting, diarrhea, abdominal pain or cramps, fever","Rest, fluids (electrolyte solutions), bland diet, avoiding irritating foods, over-the-counter medications for symptom relief",D101,True,True
Scleritis,"Eye redness, severe eye pain, blurred vision","Steroid eye drops, nonsteroidal anti-inflammatory drugs (NSAIDs), immunosuppressants",D102,False,False
Cirrhosis,"Fatigue, jaundice, abdominal swelling (ascites), easy bruising and bleeding, confusion, loss of appetite, weight loss","Treatment aims to manage symptoms, slow down disease progression, and address underlying causes. It may include: lifestyle modifications (e.g., avoiding alcohol, maintaining a healthy diet), medication (e.g., diuretics, lactulose, antiviral drugs), procedures (e.g., paracentesis, transjugular intrahepatic portosystemic shunt), liver transplantation (in severe cases)",D103,True,True
Lung Contusion,"Chest pain (sharp or dull), difficulty breathing or shortness of breath, rapid or shallow breathing, coughing up blood or pink-tinged sputum, decreased oxygen levels, wheezing, cyanosis (bluish discoloration of the skin), chest wall bruising, rib fractures (associated injuries)","Supportive care (including supplemental oxygen, pain management, and respiratory support), monitoring in a hospital setting (to assess lung function and overall stability), treatment of associated injuries (such as rib fractures), management of complications (such as pneumonia or respiratory failure), prevention of further complications (such as deep vein thrombosis or pressure ulcers), respiratory therapy (including breathing exercises and airway clearance techniques), possible use of mechanical ventilation in severe cases",D104,True,True
Corneal Disorder,"Blurred or hazy vision, eye pain or discomfort, redness or irritation of the eye, excessive tearing, sensitivity to light (photophobia), foreign body sensation, dryness or excessive tearing, corneal abrasions or ulcers, distorted or irregular corneal shape, vision loss","Treatment depends on the specific corneal disorder and may include: artificial tears or lubricating eye drops, antibiotic or antifungal eye drops (if infection is present), corticosteroid eye drops or ointments (to reduce inflammation), bandage contact lenses, therapeutic contact lenses, corneal transplantation (in severe cases), refractive surgeries (such as LASIK or PRK) to correct vision, protective eyewear or sunglasses, avoiding irritants or triggers, regular eye examinations and monitoring, lifestyle modifications (such as proper eye hygiene and avoiding eye strain)",D105,False,True
Mucoepidermoid carcinoma,"Lump, swelling, Difficulty, pain when swallowing and speaking, Facial weakness, Facial paralysis ","Surgery, Radiation therapy",D106,False,True
Carpal Tunnel Syndrome,"Tingling, numbness, and pain in the hand and fingers","Wrist splints, avoiding repetitive hand movements, applying cold or hot compresses, gentle exercises, ergonomic adjustments",D107,False,False
Macular Degeneration,"Blurred or distorted central vision, blind spots","Vision aids, medications (injections into the eye), laser therapy, photodynamic therapy, surgical intervention",D108,False,True
Atrophic vaginitis,"Vaginal dryness, Vaginal burning, frequent urination, urinary tract infections, Painful intercourse","Vaginal moisturizers, Vaginal estrogen therapy, Lifestyle modifications",D109,False,True
Osteochondrosis,"Joint pain, stiffness, swelling, reduced range of motion","Physical therapy, pain medications, rest, surgery",D110,False,True
Chronic Inflammatory Demyelinating Polyneuropathy (CIDP),"Weakness, numbness, tingling in limbs","Immunoglobulin therapy, corticosteroids, physical therapy",D111,False,True
Parasitic Infections,"Intense itching, visible lice or nits in the affected area","Prescription medications (topical or oral antiparasitic agents), washing clothes and bedding in hot water",D112,False,True
Normal Pressure Hydrocephalus,"Gait disturbances, urinary incontinence, cognitive decline or dementia-like symptoms","Ventriculoperitoneal shunt placement, medication management for symptoms",D113,False,True
Kidney Stone,"Severe pain in the side or back, blood in the urine, frequent urination","Pain management, increased fluid intake, medication to facilitate stone passage, minimally invasive procedures or surgery",D114,False,True
Pituitary Disorder,"Various symptoms depending on the specific disorder, including hormonal imbalances","Treatment depends on the specific pituitary disorder and may involve medications, surgery, hormone replacement therapy",D115,False,True
Pinguecula,"Yellowish or white growth on the conjunctiva (eye's surface), usually near the cornea","Artificial tears, lubricating eye drops, sunglasses for UV protection, surgical removal (in severe cases)",D116,False,False
Influenza (Flu),"High fever, body aches, fatigue, cough, sore throat, congestion","Rest, fluids, over-the-counter medications for symptom relief, antiviral medications (in some cases)",D117,True,True
Cat Scratch Disease,"Swollen lymph nodes, fever, fatigue, headache, rash","Antibiotics (azithromycin, doxycycline), pain management, supportive care",D118,True,False
Hyperemesis Gravidarum,Severe nausea and vomiting during pregnancy,"Intravenous fluids to prevent dehydration, anti-nausea medications, nutritional support, rest, monitoring for weight loss and electrolyte imbalance",D119,False,True
Diabetic retinopathy,"Blurred or distorted vision, floaters, impaired color vision, dark or empty areas in the visual field, vision loss","Management of blood sugar levels, blood pressure control, cholesterol management, regular eye examinations, laser treatment , intravitreal injections of anti-VEGF medications, vitrectomy",D120,False,True
Aplastic Anemia,"Fatigue, pale skin, frequent infections, shortness of breath, rapid or irregular heartbeats, prolonged bleeding or bruising","Blood transfusions, bone marrow-stimulating medications, immunosuppressive therapy, stem cell transplant (in severe cases), supportive care",D121,True,True
Wilson Disease,"Fatigue, abdominal pain or swelling, jaundice, neurological symptoms (tremors, difficulty speaking or walking)","Medications to remove copper from the body (chelators), dietary changes, liver transplant (in severe cases)",D122,True,True
Drug Abuse (Barbiturates),"Sedation, drowsiness, slurred speech, confusion, respiratory depression","Medical detoxification, supportive care, counseling, rehabilitation programs",D123,False,False
Primary Insomnia,"Difficulty falling asleep or staying asleep, daytime sleepiness, irritability, difficulty concentrating","Cognitive-behavioral therapy for insomnia (CBT-I), sleep hygiene practices (such as maintaining a regular sleep schedule, creating a comfortable sleep environment), relaxation techniques, stimulus control techniques (such as limiting bed activities to sleep only), sleep restriction therapy, medications for insomnia (such as sedative-hypnotics, melatonin agonists)",D124,False,True
Mastoiditis,"Ear pain (particularly behind the ear), swelling and redness of the ear or the area behind the ear, fever, headache, hearing loss or impaired hearing, drainage of fluid or pus from the ear, earache, irritability (in infants and young children), tenderness or pain when touching the area, mastoid bone protrusion or swelling","Antibiotics (oral or intravenous) to treat the underlying bacterial infection, pain relievers (such as acetaminophen or ibuprofen) for pain and fever, ear drops (if there is drainage from the ear), surgical intervention (in severe or chronic cases), such as mastoidectomy (removal of infected mastoid bone cells) or tympanostomy tube placement (to relieve pressure and drain fluid from the middle ear), supportive care (rest, hydration, warm compresses)",D125,True,True
Acinic cell carcinoma,"Lump, swelling, Facial changes","Surgery, Radiation therapy",D126,False,True
Arthritis,"Joint pain, stiffness, swelling","Medications, physical therapy, surgery (in severe cases)",D127,False,True
Wharton's duct stones,"Swelling, pain, dry mouth, bad taste","Hydration,Saliva stimulation, Stone removal",D128,False,False
Pharyngitis,"Sore throat, difficulty swallowing, swollen lymph nodes","Rest, pain relievers, throat lozenges, antibiotics (if bacterial infection), symptomatic relief",D129,True,False
Pericarditis,"Chest pain (sharp and stabbing), worsens with deep breaths or lying down, fever","Nonsteroidal anti-inflammatory drugs (NSAIDs) to reduce inflammation and pain, colchicine (for recurrent or persistent pericarditis), corticosteroids (in severe cases or when NSAIDs are ineffective), antibiotics (if bacterial infection is present), lifestyle modifications (rest, avoiding strenuous activity), treating underlying causes (if identified), potential pericardiocentesis (fluid drainage)",D130,True,True
